Panel:ZEN-04-TOP
Revision:1
Serial Number:VEPARB34010007
Date:20240305062354
OP ID:TRI
AOI ID:AOI_POST
Line:AOI_POST
BR(466.750,-2.262),TL(-26.235,451.880)
-------------------------------------------------------------

Board:1
Serial Number:VEPARB34010007
Name	TargX	TargY	Model	Error Clasee	AOI	Reviewed
J118_1~W46	45530	298708	VEPL73846020	OK	FAIL	PASS
J118_1~W47	35366	298708	VEPL73846020	OK	FAIL	PASS
J118_1~W48	36650	298708	VEPL73846020	OK	FAIL	PASS
J118_1~W49	43003	298708	VEPL73846020	OK	FAIL	PASS
J118_1~W50	44273	298708	VEPL73846020	OK	FAIL	PASS
J118_1~W79	37875	304810	VEPL73846020	OK	FAIL	PASS
J118_1~W80	41686	304810	VEPL73846020	OK	FAIL	PASS
J118_1~W81	39145	304810	VEPL73846020	OK	FAIL	PASS
J118_1~W82	40415	304810	VEPL73846020	OK	FAIL	PASS
J118_1~W83	37915	297874	VEPL73846020	OK	FAIL	PASS
J118_1~W84	41726	297874	VEPL73846020	OK	FAIL	PASS
J118_1~W85	39185	297874	VEPL73846020	OK	FAIL	PASS
J118_1~W86	40455	297874	VEPL73846020	OK	FAIL	PASS
J118_1~W87	37866	304088	VEPL73846020	OK	FAIL	PASS
J118_1~W88	41677	304088	VEPL73846020	OK	FAIL	PASS
J118_1~W89	39136	304088	VEPL73846020	OK	FAIL	PASS
J118_1~W90	40406	304088	VEPL73846020	OK	FAIL	PASS
J118_1~W91	37925	298596	VEPL73846020	OK	FAIL	PASS
J118_1~W92	41736	298596	VEPL73846020	OK	FAIL	PASS
J118_1~W93	39195	298596	VEPL73846020	OK	FAIL	PASS
J118_1~W94	40465	298596	VEPL73846020	OK	FAIL	PASS
J120_1~W103	139398	170338	VEPL73839050	OK	FAIL	PASS
J120_1~W104	160278	158621	VEPL73839050	OK	FAIL	PASS
J120_1~W105	140275	169846	VEPL73839050	OK	FAIL	PASS
J120_1~W106	141144	169358	VEPL73839050	OK	FAIL	PASS
J120_1~W107	142015	168870	VEPL73839050	OK	FAIL	PASS
J120_1~W108	142884	168382	VEPL73839050	OK	FAIL	PASS
J120_1~W109	143753	167894	VEPL73839050	OK	FAIL	PASS
J120_1~W110	144624	167406	VEPL73839050	OK	FAIL	PASS
J120_1~W111	145493	166918	VEPL73839050	OK	FAIL	PASS
J120_1~W112	146363	166430	VEPL73839050	OK	FAIL	PASS
J120_1~W113	147233	165941	VEPL73839050	OK	FAIL	PASS
J120_1~W114	148102	165453	VEPL73839050	OK	FAIL	PASS
J120_1~W115	148972	164965	VEPL73839050	OK	FAIL	PASS
J120_1~W116	149842	164477	VEPL73839050	OK	FAIL	PASS
J120_1~W117	150712	163989	VEPL73839050	OK	FAIL	PASS
J120_1~W118	151581	163501	VEPL73839050	OK	FAIL	PASS
J120_1~W119	152451	163013	VEPL73839050	OK	FAIL	PASS
J120_1~W120	153321	162525	VEPL73839050	OK	FAIL	PASS
J120_1~W121	154190	162037	VEPL73839050	OK	FAIL	PASS
J120_1~W122	155061	161549	VEPL73839050	OK	FAIL	PASS
J120_1~W123	155930	161061	VEPL73839050	OK	FAIL	PASS
J120_1~W124	156800	160573	VEPL73839050	OK	FAIL	PASS
J120_1~W125	157670	160084	VEPL73839050	OK	FAIL	PASS
J120_1~W126	158539	159596	VEPL73839050	OK	FAIL	PASS
J120_1~W127	159409	159109	VEPL73839050	OK	FAIL	PASS
J120_1~W128	135400	163173	VEPL73839050	OK	FAIL	PASS
J120_1~W129	156321	151433	VEPL73839050	OK	FAIL	PASS
J120_1~W130	136270	162685	VEPL73839050	OK	FAIL	PASS
J120_1~W131	137139	162197	VEPL73839050	OK	FAIL	PASS
J120_1~W132	138010	161709	VEPL73839050	OK	FAIL	PASS
J120_1~W133	138879	161221	VEPL73839050	OK	FAIL	PASS
J120_1~W134	139748	160733	VEPL73839050	OK	FAIL	PASS
J120_1~W135	140619	160244	VEPL73839050	OK	FAIL	PASS
J120_1~W136	141548	159723	VEPL73839050	OK	FAIL	PASS
J120_1~W137	142417	159235	VEPL73839050	OK	FAIL	PASS
J120_1~W138	143276	158753	VEPL73839050	OK	FAIL	PASS
J120_1~W139	144145	158265	VEPL73839050	OK	FAIL	PASS
J120_1~W140	145015	157777	VEPL73839050	OK	FAIL	PASS
J120_1~W141	145885	157289	VEPL73839050	OK	FAIL	PASS
J120_1~W142	146755	156801	VEPL73839050	OK	FAIL	PASS
J120_1~W143	147624	156313	VEPL73839050	OK	FAIL	PASS
J120_1~W144	148483	155831	VEPL73839050	OK	FAIL	PASS
J120_1~W145	149353	155343	VEPL73839050	OK	FAIL	PASS
J120_1~W146	150245	154843	VEPL73839050	OK	FAIL	PASS
J120_1~W147	151115	154354	VEPL73839050	OK	FAIL	PASS
J120_1~W148	151984	153866	VEPL73839050	OK	FAIL	PASS
J120_1~W149	152843	153385	VEPL73839050	OK	FAIL	PASS
J120_1~W150	153713	152896	VEPL73839050	OK	FAIL	PASS
J120_1~W151	154594	152402	VEPL73839050	OK	FAIL	PASS
J120_1~W152	155452	151920	VEPL73839050	OK	FAIL	PASS
J120_1~W153	138983	169498	VEPL73839050	OK	FAIL	PASS
J120_1~W154	159863	157781	VEPL73839050	OK	FAIL	PASS
J120_1~W155	139859	169007	VEPL73839050	OK	FAIL	PASS
J120_1~W156	140729	168519	VEPL73839050	OK	FAIL	PASS
J120_1~W157	141599	168030	VEPL73839050	OK	FAIL	PASS
J120_1~W158	142469	167542	VEPL73839050	OK	FAIL	PASS
J120_1~W159	143338	167054	VEPL73839050	OK	FAIL	PASS
J120_1~W160	144208	166566	VEPL73839050	OK	FAIL	PASS
J120_1~W161	145078	166078	VEPL73839050	OK	FAIL	PASS
J120_1~W162	145947	165590	VEPL73839050	OK	FAIL	PASS
J120_1~W163	146818	165102	VEPL73839050	OK	FAIL	PASS
J120_1~W164	147687	164614	VEPL73839050	OK	FAIL	PASS
J120_1~W165	148557	164126	VEPL73839050	OK	FAIL	PASS
J120_1~W166	149427	163638	VEPL73839050	OK	FAIL	PASS
J120_1~W167	150296	163150	VEPL73839050	OK	FAIL	PASS
J120_1~W168	151166	162662	VEPL73839050	OK	FAIL	PASS
J120_1~W169	152036	162173	VEPL73839050	OK	FAIL	PASS
J120_1~W170	152906	161685	VEPL73839050	OK	FAIL	PASS
J120_1~W171	153775	161198	VEPL73839050	OK	FAIL	PASS
J120_1~W172	154645	160709	VEPL73839050	OK	FAIL	PASS
J120_1~W173	155515	160221	VEPL73839050	OK	FAIL	PASS
J120_1~W174	156384	159733	VEPL73839050	OK	FAIL	PASS
J120_1~W175	157255	159245	VEPL73839050	OK	FAIL	PASS
J120_1~W176	158124	158757	VEPL73839050	OK	FAIL	PASS
J120_1~W177	158993	158269	VEPL73839050	OK	FAIL	PASS
J120_1~W178	135815	164012	VEPL73839050	OK	FAIL	PASS
J120_1~W179	156736	152272	VEPL73839050	OK	FAIL	PASS
J120_1~W180	136684	163524	VEPL73839050	OK	FAIL	PASS
J120_1~W181	137554	163036	VEPL73839050	OK	FAIL	PASS
J120_1~W182	138424	162548	VEPL73839050	OK	FAIL	PASS
J120_1~W183	139293	162060	VEPL73839050	OK	FAIL	PASS
J120_1~W184	140163	161572	VEPL73839050	OK	FAIL	PASS
J120_1~W185	141033	161084	VEPL73839050	OK	FAIL	PASS
J120_1~W186	141962	160562	VEPL73839050	OK	FAIL	PASS
J120_1~W187	142831	160074	VEPL73839050	OK	FAIL	PASS
J120_1~W188	143690	159592	VEPL73839050	OK	FAIL	PASS
J120_1~W189	144560	159105	VEPL73839050	OK	FAIL	PASS
J120_1~W190	145429	158617	VEPL73839050	OK	FAIL	PASS
J120_1~W191	146300	158128	VEPL73839050	OK	FAIL	PASS
J120_1~W192	147169	157640	VEPL73839050	OK	FAIL	PASS
J120_1~W193	148038	157152	VEPL73839050	OK	FAIL	PASS
J120_1~W194	148897	156670	VEPL73839050	OK	FAIL	PASS
J120_1~W195	149767	156182	VEPL73839050	OK	FAIL	PASS
J120_1~W196	150659	155682	VEPL73839050	OK	FAIL	PASS
J120_1~W197	151529	155193	VEPL73839050	OK	FAIL	PASS
J120_1~W198	152399	154705	VEPL73839050	OK	FAIL	PASS
J120_1~W199	153257	154224	VEPL73839050	OK	FAIL	PASS
