Panel:ZEN-04-BOT
Revision:1
Serial Number:VEPARB34010007
Date:20240305033933
OP ID:TRI
AOI ID:AOI_POST
Line:AOI_POST
BR(481.765,7.433),TL(2.154,446.583)
-------------------------------------------------------------

Board:1
Serial Number:VEPARB34010007
Name	TargX	TargY	Model	Error Clasee	AOI	Reviewed
Q155_1~W11	143523	98100	VEPL83861060	OK	FAIL	PASS
Q155_1~W12	144337	95264	VEPL83861060	OK	FAIL	PASS
Q155_1~W13	145362	97336	VEPL83861060	OK	FAIL	PASS
Q155_1~W14	143482	97336	VEPL83861060	OK	FAIL	PASS
Q155_1~W9	144295	94500	VEPL83861060	OK	FAIL	PASS
Q156_1~W10	154711	352461	VEPL83861060	OK	FAIL	PASS
Q156_1~W11	154711	354341	VEPL83861060	OK	FAIL	PASS
Q156_1~W12	151875	353528	VEPL83861060	OK	FAIL	PASS
Q156_1~W13	153947	352503	VEPL83861060	OK	FAIL	PASS
Q156_1~W14	153947	354383	VEPL83861060	OK	FAIL	PASS
Q156_1~W4	153707	352538	VEPL83861060	OK	FAIL	PASS
Q156_1~W6	151825	353533	VEPL83861060	OK	FAIL	PASS
Q156_1~W9	151111	353569	VEPL83861060	OK	FAIL	PASS
Q159_1~W3	180393	204794	VEPL33511270	OK	FAIL	PASS
Q162_1~W3	195739	187048	VEPL33511270	OK	FAIL	PASS
Q165_1~W11	191407	196449	VEPL33511270	OK	FAIL	PASS
Q169_1~W10	28905	116495	VEPL83861060	OK	FAIL	PASS
Q169_1~W11	28905	118375	VEPL83861060	OK	FAIL	PASS
Q169_1~W12	26069	117562	VEPL83861060	OK	FAIL	PASS
Q169_1~W13	28141	116537	VEPL83861060	OK	FAIL	PASS
Q169_1~W14	28141	118417	VEPL83861060	OK	FAIL	PASS
Q169_1~W6	26019	117567	VEPL83861060	OK	FAIL	PASS
Q169_1~W9	25305	117603	VEPL83861060	OK	FAIL	PASS
Q39_1~W2	210460	255910	VEPL33511270	OK	FAIL	PASS
Q39_1~W3	210060	256211	VEPL33511270	OK	FAIL	PASS
Q44_1~W2	151417	130653	VEPL83863030	OK	FAIL	PASS
Q55_1~W5	143205	239385	VEPL33511270	OK	FAIL	PASS
Q87_1~W16	142752	250605	VEPL33511270	OK	FAIL	PASS
Q87_1~W17	142752	249311	VEPL33511270	OK	FAIL	PASS
Q87_1~W18	142752	249943	VEPL33511270	OK	FAIL	PASS
