BarCode,PCBIndex,Date,StartTime,EndTime,Recipe,Result,UserName,Lot,Machine,Comment,Lane,Stencil,Board Vendor Info,Print Direction,Print No,Cycle,
<VEPARB34010007>,13857,3/4/2024,19:00:38,19:02:06,D:\02. Recipe\ASM-SPI\ZEN-04-MARCH\PRYSM-ZEN-04-BOT-NEW.7z,DEFECT,operator,2,PL0028,,1,StencilName,VendorName,REVERSE,PrintNo,88,
,,,,,,,,,,,,,,,,,
PCBIndex,GOOD,WARNING,ERROR,,,,,,,,,,,,,,
13857,5136,1641,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PCBIndex,,Insufficient,Excessive,OffsetXY,Bridge,HeightHigh,HeightLow,AreaLarge,AreaSmall,ShapeError,CoplanarityAbsHeight,CoplanarityAvgHeight,CoplanarityVolume,CoplanarityXOffset,CoplanarityYOffset,OffsetX,OffsetY
13857,WARNING,9,0,0,0,1611,16,0,0,0,0,0,0,0,0,0,0
,ERROR,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
PCBIndex,TYPE,MIN,MAX,AVG,,,,,,,,,,,,,
13857,OffsetX,-122.214,93.9811,-32.9123,,,,,,,,,,,,,
,OffsetY,-17.0689,241.277,119.757,,,,,,,,,,,,,
,Volume,17.3507,172.259,112.594,,,,,,,,,,,,,
,Area,23.5142,149.952,88.8232,,,,,,,,,,,,,
,Height,75.2642,189.072,129.685,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PCBIndex,Panel ID,Result,Operator Review,No. Of Defects,No. Of Pads,Panel Barcode,,,,,,,,,,,
13857,1,Defect,Pass,22,6794,VEPARB34010007 - 1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PCBIndex,Ref.Des.,Pad ID,Volume (%),Height (um),Area (%),Offset X (um),Offset Y (um),Group ID,Print Direction,Barcode,Bridge Error,Shape Error,Panel ID,Result,,,
13857,C1,3612,141,146,97,-66,160,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,HEIGHTHIGH_WARNING,,,
13857,C1,3613,143,151,96,-51,168,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,HEIGHTHIGH_WARNING,,,
13857,C10,9786,125,143,89,-41,145,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,HEIGHTHIGH_WARNING,,,
13857,C10,9787,122,141,88,-51,153,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,HEIGHTHIGH_WARNING,,,
13857,C100,3608,134,144,95,-57,178,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,HEIGHTHIGH_WARNING,,,
13857,C100,3609,137,147,94,-46,174,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,HEIGHTHIGH_WARNING,,,
13857,C101,9716,112,156,73,-48,157,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,HEIGHTHIGH_WARNING,,,
13857,C101,9717,123,144,86,-68,132,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,HEIGHTHIGH_WARNING,,,
13857,C102,7820,121,135,91,-61,150,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C102,7821,118,135,88,-59,139,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C106,5850,110,115,97,30,67,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C106,5851,110,119,94,59,63,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C11,7716,109,139,79,-53,149,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C11,7717,101,139,73,-43,141,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C111,3136,129,142,92,-54,139,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,HEIGHTHIGH_WARNING,,,
13857,C111,3137,126,138,92,-43,134,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C12,6526,114,134,86,-45,149,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C12,6527,108,133,82,-50,139,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C13,6544,105,129,83,-56,130,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C13,6545,103,131,80,-45,135,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C15,6590,96,129,76,-55,153,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C15,6591,113,138,83,-45,129,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
13857,C16,10062,108,119,92,-44,137,2,REVERSE,VEPARB34010007 - 1,FALSE,FALSE,1,GOOD,,,
